,project_name,release_no,language,category,release_content,pull_request_titles,commit_msgs,issue_titles,pr_link,commit_link,issue_link
0,vue,2.7.14,javascript,bugfix,compiler-sfc: fix template usage check edge case for v-slot destructured default value,fix(compiler-sfc): fix template usage check edge case for v-slot destructured default value,fix(compiler-sfc): fix template usage check edge case for v-slot destructured default value,Destructured default value failed on named slots,https://github.com/vuejs/vue/pull/12842,https://github.com/vuejs/vue/commit/5e3d4e90cdf92ec0a72bbb2bd44125f1faafae1d,https://github.com/vuejs/vue/issues/12841
1,vue,2.7.14,javascript,bugfix,provide/inject: do not mutate original provide options during merge,,fix(provide/inject): do not mutate original provide options during merge,usage of provide: mutates mixins,,https://github.com/vuejs/vue/commit/d1899caf688de961e63e7a0d56f806fc4a12efd9,https://github.com/vuejs/vue/issues/12854
2,vue,2.7.14,javascript,bugfix,reactivity: avoid using WeakMap for IE compatibility,,fix(reactivity): avoid using WeakMap for IE compatibility,WeakMap' is undefined in Vue 2.7.11 and above (IE10 and under),,https://github.com/vuejs/vue/commit/29b5f588032600baae9854ac9a4105916a5aa648,https://github.com/vuejs/vue/issues/12837
3,vue,2.7.14,javascript,bugfix,types: fix spreading VNodeData in tsx,fix(types):fix Spreading data functional components TSX type error,fix(types): fix spreading VNodeData in tsx,Spreading data functional components TSX type error,https://github.com/vuejs/vue/pull/12789,https://github.com/vuejs/vue/commit/f7db7f361b6356591781b9f33abbb0d5b7f9b97c,https://github.com/vuejs/vue/issues/12778
4,vue,2.7.14,javascript,bugfix,types: stricter type condition for EventHandlers,"fix(types): stricter type condition for EventHandlers"" ",fix(types): stricter type condition for EventHandlers,"EventHandlers type error, DOM's Event was tainted byï¿½@types/node",https://github.com/vuejs/vue/pull/12840,https://github.com/vuejs/vue/commit/0b3cf7dda9ac605b2b9f799acacd2793e974f225,https://github.com/vuejs/vue/issues/12832
5,vue,2.7.13,javascript,bugfix,effectScope: calling off() of a detached scope should not break currentScope,,fix(effectScope): calling off() of a detached scope should not breakcurrentScope,Creating a vm in a detached EffectScope before any other vm is initialized breaks tracking of the activeEffectScope,,https://github.com/vuejs/vue/commit/800207c473c7d6dfcdc883100a3d443fc5ad2e39,https://github.com/vuejs/vue/issues/12825
6,vue,2.7.13,javascript,bugfix,types: style attribute svg,fix(types): style attribute svg,fix(types): style attribute svg,,https://github.com/vuejs/vue/pull/12800,https://github.com/vuejs/vue/commit/8e262618cdc3251ca9630b17de4a000567ffb007,
7,vue,2.7.13,javascript,bugfix,watch: avoid traversing objects that are marked non-reactive,fix(watch): avoid traversing objects that are marked non-reactive,fix(watch): avoid traversing objects that are marked non-reactive,,https://github.com/vuejs/vue/pull/12806,https://github.com/vuejs/vue/commit/5960f05c69099c174062b6672c7a21d717a3bccf,
8,vue,2.7.11,javascript,bugfix,build: enforce LF line ending in built files,,fix(build): enforce LF line ending in built files,dist/vue.esm.js 2.7.10 has mixed EOL - build is unstable,,https://github.com/vuejs/vue/commit/738f4b3c570dc3a1818924a203a9f8e4b1ec90f0,https://github.com/vuejs/vue/issues/12819
9,vue,2.7.11,javascript,bugfix,compiler-sfc: export parseComponent for compat with fork-ts-checker-webpack-plugin,,,,,https://github.com/vuejs/vue/commit/0d6d972b32521fd18eb853b1073c0a19859a499a,https://github.com/vuejs/vue/issues/12719
10,vue,2.7.11,javascript,bugfix,reactivity: check skip first before checking ref when creating observer,fix(12812): skip the component while creating observer,fix(reactivity): check skip first before checking ref when creating observer,"while creating observe, a vue component has not been skipped",https://github.com/vuejs/vue/pull/12813,https://github.com/vuejs/vue/commit/5d26f815c643d41e6ca6f29329593223b981fc24,https://github.com/vuejs/vue/issues/12812
11,vue,2.7.11,javascript,bugfix,"reactivity: use WeakMap for proxy/raw checks, compat with non-extensible objects",fix: vue2.7 use readonly on frozen object causeing error,"fix(reactivity): use WeakMap for proxy/raw checks, compat with non-extensible objects",[2.7.10] readonly on frozen object causing TypeError: Cannot define property __v_rawToReadonly,https://github.com/vuejs/vue/pull/12798,https://github.com/vuejs/vue/commit/4a0d88e46e4180edc7f22e36c25df3f8ac5d60d2,https://github.com/vuejs/vue/issues/12799
12,vue,2.7.11,javascript,bugfix,setup: setup hook should be called before beforeCreate,,fix(setup): setup hook should be called before beforeCreate,Order of setup vs beforeCreate not consistent with Vue 3 behavior,,https://github.com/vuejs/vue/commit/e1342df7847a51c75192fec74e94378178e046b0,https://github.com/vuejs/vue/issues/12802
13,vue,2.7.11,javascript,bugfix,sfc:prune returned bindings for non-TS as well,,fix(sfc): prune returned bindings for non-TS as well,SFC <script setup> not tree-shakable,,https://github.com/vuejs/vue/commit/fb1393009660b38046b1f6dfb532b481cc53b3b7,https://github.com/vuejs/vue/issues/12765
14,vue,2.7.11,javascript,bugfix,sfc:remove sfc scoped deep syntax deprecation warnings,,fix(sfc): remove sfc scoped deep syntax deprecation warnings,,,https://github.com/vuejs/vue/commit/2f335b2f9d09b962f40e38740826d444e4fff073,
15,vue,2.7.11,javascript,bugfix,"types: fix error with options watch,fix(types): fix error with options watch""",fix(types): fix error with options watch,types error with options watch,,https://github.com/vuejs/vue/pull/12779,https://github.com/vuejs/vue/commit/bc5b92adde147436f2adb25e457f0c967829467f,
16,vue,2.7.11,javascript,bugfix,"types: support Ref and function types in tsx ref attribute,feat(types): add type in ReservedProps""",fix(types): support Ref and function types in tsx ref attribute,[2.7.x] Here is a type error when using ref() on attribute 'ref' in TSX,,https://github.com/vuejs/vue/pull/12759,https://github.com/vuejs/vue/commit/87f69aa26f195390b948fbb0ff62cf954b58c82c,https://github.com/vuejs/vue/issues/12780
17,vue,2.7.11,javascript,bugfix,types: vue 3 directive type compatibility,fix(types): vue 3 directive type compatibility,fix(types): vue 3 directive type compatibility,,https://github.com/vuejs/vue/pull/12792,,https://github.com/vuejs/vue/issues/12758
18,vue,2.7.11,javascript,performanceimprovements,improve unsub perf for deps with massive amount of subs,,perf: improve unsub perf for deps with massive amount of subs,Destroy performance in Chromium browsers on macOS (w. potential solution),,https://github.com/vuejs/vue/commit/8880b55d52f8d873f79ef67436217c8752cddef5,https://github.com/vuejs/vue/issues/12696
19,vue,2.7.9,javascript,features,types: enhance type for onErrorCaptured,chore(v3/lifecycle): Enhanced type for onErrorCaptured,feat(types): enhance type for onErrorCaptured,,https://github.com/vuejs/vue/pull/12735,https://github.com/vuejs/vue/commit/bba6b3d6b4e3e26d28abbf20e74ec2f3e64f1a92,
20,vue,2.7.9,javascript,features,types: export DefineComponent,,feat(types): export DefineComponent,Export type DefineComponent,,https://github.com/vuejs/vue/commit/80d1baf92050da411fb1bfe714401c498001dd36,https://github.com/vuejs/vue/issues/12748
21,vue,2.7.9,javascript,features,types: support mixins inference for new Vue(),feat(types): new Vue() improvements,feat(types): support mixins inference for new Vue(),new Vue cannot infer mixin types,https://github.com/vuejs/vue/issues/12737,https://github.com/vuejs/vue/commit/89a6b5e8658a6e3ae2cf649829901784ac9deb3c,https://github.com/vuejs/vue/issues/12730
22,vue,2.6.13,javascript,bugfix,handle async placeholders in normalizeScopedSlot,fix: handle async placeholders in normalizeScopedSlot,fix: handle async placeholders in normalizeScopedSlot,,https://github.com/vuejs/vue/pull/11963,https://github.com/vuejs/vue/commit/af54514cf97e724d224408c1ecc6c81ddccd4b75,
23,vue,2.6.13,javascript,bugfix,pause dep collection during immediate watcher invocation,fix: pause dep collection during immediate watcher invocation,fix: pause dep collection during immediate watcher invocation,,https://github.com/vuejs/vue/pull/11943,https://github.com/vuejs/vue/commit/987f322b8f419cc307f4294173f8792a706ed73f,
24,vue,2.6.13,javascript,features,warn: warn computed conflict with methods,feat(warn): warn computed conflict with methods,feat(warn): warn computed conflict with methods,,https://github.com/vuejs/vue/pull/10119,https://github.com/vuejs/vue/commit/3ad60fea73d042fc9a127d19de8329948d3f2ef0,
25,vue,2.6.13,javascript,features,warns: avoid warning native modifiers on dynamic components,feat(warns): avoid warning native modifiers on dynamic components,feat(warns): avoid warning native modifiers on dynamic components,,https://github.com/vuejs/vue/pull/11052,https://github.com/vuejs/vue/commit/3d46692ee4e8ec67b5bc0f66cdabf4667fa4de88,
26,vue,2.6.13,javascript,performanceimprovements,preinitialize typeCheck RegExp,perf: preinitialize typeCheck RegExp,perf: preinitialize typeCheck RegExp,,https://github.com/vuejs/vue/pull/10990,https://github.com/vuejs/vue/commit/2488a6a1e9779f0cca4a64163ef44ac30530a450,
27,vue,2.6.11,javascript,securityfix,Bump vue-server-renderer's dependency of serialize-javascript to 2.1.2,,,,,,
28,vue,2.6.11,javascript,bugfix,compiler: Remove the warning for valid v-slot value,fix(compiler): Remove the waring for valid v-slot value,fix(compiler): Remove the warning for valid v-slot value,,https://github.com/vuejs/vue/pull/9917,,
29,vue,2.7.2,javascript,bugfix,compiler-sfc: preserve old deindent behavior for pug,,fix(compiler-sfc): preserve old deindent behavior for pug,Pug templates no longer compile with an initial indent,,https://github.com/vuejs/vue/commit/1294385300742acbea5f05c166685bd4a1fab35a,https://github.com/vuejs/vue/issues/12611
30,vue,2.7.2,javascript,features,allow passing directive definition directly to h(),feat: allow passing directive definition directly to h() #,feat: allow passing directive definition directly to h(),,https://github.com/vuejs/vue/pull/12590,https://github.com/vuejs/vue/commit/d45bbeac2710a5cf9185377abc2342295f0bb4e2,
31,vue,2.7.2,javascript,features,types: define component improvements,Define component improvements,"
feat(types): define component improvements",,https://github.com/vuejs/vue/pull/12612,https://github.com/vuejs/vue/commit/fb93c1be77f12ea1375c5e8b47d168e4d5ceb7be,
32,vue,2.6.0,javascript,bugfix,runtime: DevTools recommendation shows for all browsers,fix(runtime): DevTools recommendation shows for all browsers,fix(runtime): DevTools recommendation shows for all browsers,"Vue DevTools recommendation only shows for Chrome, not Firefox",https://github.com/vuejs/vue/pull/8638,https://github.com/vuejs/vue/commit/22ad26615104c15fd09bc69692e3042bb1bb58e9,https://github.com/vuejs/vue/issues/8634
33,vue,2.6.0,javascript,features,improve scoped slots change detection accuracy,perf: improve scoped slots change detection accuracy,perf: improve scoped slots change detection accuracy,,https://github.com/vuejs/vue/pull/9371,https://github.com/vuejs/vue/commit/f219bedae8f9cab131eb5529769bcfdc91ce2912,
34,vue,2.6.0,javascript,features,ssr: allow template option to be function in renderToString,[feature] allow template to be function in vue-server-renderer,feat(ssr): allow template option to be function in renderToString,,https://github.com/vuejs/vue/pull/9324,https://github.com/vuejs/vue/commit/b65f6d78e0e480601b0042b1b5e8259343b629fb,
35,vue,2.6.0,javascript,features,core/template: support custom toString() in text interpolation and v-html,fix #8093: Use custom toString method when interpolating objects if implemented,feat: support custom toString() in text interpolation and v-html,Use toString() on object interpolation when defined,https://github.com/vuejs/vue/pull/8217,https://github.com/vuejs/vue/commit/0e4e45ec741416e0042c29a53bbc0e58c8663f6e,https://github.com/vuejs/vue/issues/8093
36,vue,2.6.0,javascript,features,core/slots: expose all normal slots on $scopedSlots as functions,,feat(core): expose all slots on $scopedSlots as functions,,,https://github.com/vuejs/vue/commit/5d52262f1ce56d080c3438c4773a81dc5c8397aa,
37,vue,2.6.0,javascript,features,"compiler: add whitespace option, deprecate preserveWhitespace option",,"feat(compiler): add whitespace option, deprecate preserveWhitespace option",Handle whitespaces in templates more wisely,,https://github.com/vuejs/vue/commit/e1abedb9e66b21da8a7e93e175b9dabe334dfebd,https://github.com/vuejs/vue/issues/9208
38,vue,2.5.21,javascript,performanceimprovements,skip normalization on single child element v-for,,perf: skip normalization on single child element v-for,,,https://github.com/vuejs/vue/commit/4074104fac219e61e542f4da3a4800975a8063f2,
39,React,18.2.0,javascript,reactDOM,Provide a component stack as a second argument to onRecoverableError,support errorInfo in onRecoverableError,,,https://github.com/facebook/react/pull/24591,,
40,React,18.2.0,javascript,reactDOM,Fix hydrating into document causing a blank page on mismatch.,Support document rendering,,"
React 18: Non-recoverable hydration mismatch if mismatch occurs in the same boundary as main script",https://github.com/facebook/react/pull/24523,,https://github.com/facebook/react/issues/22833
41,React,18.2.0,javascript,reactDOM,Fix ignored setState in Safari when adding an iframe,Fix ignored setState in Safari when iframe is touched,,Bug: setState is not flushed if an iframe is added in the same tick in Safari,https://github.com/facebook/react/pull/24459,,https://github.com/facebook/react/issues/24458
42,React,18.2.0,javascript,reactDOMserver,Allow to provide a reason when aborting the HTML stream,Support abort reasons,,,https://github.com/facebook/react/pull/24680,,
43,React,18.2.0,javascript,reactDOMserver,Eliminate extraneous text separators in the HTML where possible.,[Fizz] Improve text separator byte efficiency,,,https://github.com/facebook/react/pull/24630,,
44,React,18.2.0,javascript,reactDOMserver,Disallow complex children inside <title> elements to match the browser constraints.,[Fizz] Disallow complex children in <title> elements,,,https://github.com/facebook/react/pull/24679,,
45,React,18.2.0,javascript,reactDOMserver,Fix buffering in some worker environments by explicitly setting highWaterMark to 0,Explicitly set highWaterMark to 0 for ReadableStream,,,https://github.com/facebook/react/pull/24641,,
46,React,18.2.0,javascript,servercomponents,Add support for useId() inside Server Components.,[Flight] Implement useId hook,,,https://github.com/facebook/react/pull/24172,,
47,React,18.1.0,javascript,reactDOM,Fix the false positive warning about react-dom/client when using UMD bundle.,ignore checking client entry point for UMD build,,,https://github.com/facebook/react/pull/24274,,
48,React,18.1.0,javascript,reactDOM,Fix suppressHydrationWarning to work in production too.,Fix suppressHydrationWarning not working in production,,,https://github.com/facebook/react/pull/24271,,
49,React,18.1.0,javascript,reactDOM,Fix componentWillUnmount firing twice inside of Suspense.,[PR Stack] Refactor mutation phase to use recursion,,,https://github.com/facebook/react/pull/24308,,
50,React,18.1.0,javascript,reactDOM,Fix useDeferredValue causing an infinite loop when passed an unmemoized value,Fix infinite update loop that happens when an unmemoized value is passed to useDeferredValue,,,https://github.com/facebook/react/pull/24247,,
51,React,18.1.0,javascript,reactDOM,Ensure the reason for hydration errors is always displayed,Don't mute hydration errors forcing client render,,,https://github.com/facebook/react/pull/24276,,
52,React,18.1.0,javascript,reactDOMserver,Significantly improve performance of renderToPipeableStream,[Fizz] Pipeable Stream Perf,,,https://github.com/facebook/react/pull/24291,,
53,React,17.0.0,javascript,reactDOM,Run useEffect cleanup functions asynchronously.,Flush useEffect clean up functions in the passive effects phase,,,https://github.com/facebook/react/pull/17925,,
54,React,17.0.0,javascript,reactDOM,Stop exposing internals that wonâ€™t be needed by React Native Web.,ReactDOM: remove unstable-native-dependencies bundle,,,https://github.com/facebook/react/pull/18483,,
55,React,17.0.0,javascript,reactDOM,Disable console during the repeated render in Strict Mode,Disable console.logs in the second render pass of DEV mode double render,,,https://github.com/facebook/react/pull/18547,,
56,React,17.0.0,javascript,reactDOM,Improve the error message when switching between controlled and uncontrolled inputs,Make uncontrolled -> controlled warning clearer,,,https://github.com/facebook/react/pull/17070,,
57,React,17.0.0,javascript,reactDOMserver,Make useCallback behavior consistent with useMemo for the server renderer,Consistent useCallback implementation in ReactDOMServer,,,https://github.com/facebook/react/pull/18783,,
58,React,17.0.0,javascript,concurrentmode,Fix a bug causing dropped updates in a suspended tree,[Bugfix] Dropped updates inside a suspended tree,,,https://github.com/facebook/react/pull/18384,,
59,React,16.13.1,javascript,reactDOM,"Fix bug in legacy mode Suspense where effect clean-up functions are not fired. This only affects users who use Suspense for data fetching in legacy mode, which is not technically supported.",Bugfix: Dropped effects in Legacy Mode Suspense,,,https://github.com/facebook/react/pull/18238,,
60,React,16.13.1,javascript,reactDOM,Revert warning for cross-component updates that happen inside class render lifecycles,Don't fire the render phase update warning for class lifecycles,,,https://github.com/facebook/react/pull/18330,,
61,Bootstrap,5.2.3,,css,Import root in bootstrap-utilities,Import root so that utilities have the CSS variables they need,,bootstrap-utilities.css missing CSS variables,https://github.com/twbs/bootstrap/pull/37377,,https://github.com/twbs/bootstrap/issues/37376
62,Bootstrap,5.2.3,,css,Fix deprecation warning with sass 1.56.0,Fix deprecation warning with sass 1.56.0,,Incompatible with sass 1.56.0,https://github.com/twbs/bootstrap/pull/37425,,https://github.com/twbs/bootstrap/issues/37424
63,Bootstrap,5.2.3,,javascript,fix tooltip/popper disposal inconsistencies,"Bind popper disposal with tooltip removal, trying to fix tooltip/popper inconsistencies",,Tooltips show in wrong position when hovered from above on Safari,https://github.com/twbs/bootstrap/pull/37235,,https://github.com/twbs/bootstrap/issues/37068
64,Bootstrap,5.2.2,,highlights,Use Sass variable for the accordion color instead of an invalid CSS variable,,,,,,
65,Bootstrap,5.2.2,,highlights,Undo changes to .btn:hover from v5.2.1. We now explicitly target .btn-check styles instead.,,,,,,
66,Bootstrap,5.2.2,,highlights,Restore the ability for dropdowns to work without an explicit data attribute (will be removed again in v6),,,,,,
67,Bootstrap,5.2.2,,highlights,Improve modal event listeners,,,,,,
68,Bootstrap,5.2.2,,highlights,Use <h1> for all .modal-title instances in our docs,,,,,,
69,Bootstrap,5.2.2,,highlights,Don't redefine $border-color in table-variant() mixin,,,,,,
70,Bootstrap,5.2.2,,highlights,Tabs no longer autofocus and cause pages to jump on tab.show(),,,,,,
71,Bootstrap,5.2.2,,highlights,Fix .active class toggling of tabs within dropdowns,,,,,,
72,Bootstrap,5.2.2,,highlights,Properly set toast z-index on .toast-container as opposed to individual .toasts that don't receive any other positioning,,,,,,
73,Bootstrap,5.2.2,,highlights,Fix tooltip selectors with title attribute on dynamically created elements,,,,,,
74,Bootstrap,5.2.2,,docs,Slightly improve image compression,Slightly improve image compression,,,https://github.com/twbs/bootstrap/pull/36899,,
75,Bootstrap,5.2.2,,docs,Add informative note for Tooltip/Popover selector option,Add informative note for Tooltip/Popover selector option,,,https://github.com/twbs/bootstrap/pull/37142,,
76,Bootstrap,5.2.2,,javascript,Enrich Tab Test for keyboard handler,Enrich Tab Test for keyboard handler,,,https://github.com/twbs/bootstrap/pull/37189,,
77,Bootstrap,5.2.2,,javascript,Fix active class toggling of tabs within dropdown,Fix active class toggling of tabs within dropdown,,Tab active class isn't removed correctly when inside drop-down menu (5.2 regression,https://github.com/twbs/bootstrap/pull/37151,,https://github.com/twbs/bootstrap/issues/36947
78,Bootstrap,5.2.1,,features,ScrollSpy: make the threshold option configurable,ScrollSpy: make the threshold option configurable,,ScrollSpy not behaving correctly,https://github.com/twbs/bootstrap/pull/36750,,https://github.com/twbs/bootstrap/issues/36431
79,Bootstrap,5.2.1,,highlights,Update color value to use the $accordion-button-color Sass variable instead of our color contrast function,,,,,,
80,Bootstrap,5.2.1,,highlights,Added a transparent default hover border color CSS variable for buttons to fix a visual regression,,,,,,
81,Bootstrap,5.2.1,,highlights,.btn-link no longer has a gradient when $enable-gradients is set to true,,,,,,
82,Bootstrap,5.2.1,,highlights,Input groups have updated z-index values to ensure proper rendering of validated form fields,,,,,,
83,Bootstrap,5.2.1,,highlights,Floating labels now reset their text-align to ensure consistent styling,,,,,,
84,Bootstrap,5.2.1,,highlights,Horizontal list groups with only one child now render the correct border-radius,,,,,,
85,Bootstrap,5.2.1,,highlights,Modified the list-group-item selectors to better support nested imports of Bootstrap's CSS,,,,,,
86,Bootstrap,5.2.1,,highlights,"Fixed modal event listeners during dismiss click, allowing you to once again click scrollbars without dismissing the modal",,,,,,
87,Bootstrap,5.2.1,,highlights,Fixed incorrect border-radius values inside pagination components,,,,,,
88,Bootstrap,5.2.1,,highlights,Scrollspy threshold option is now configurable,,,,,,
89,Bootstrap,5.2.1,,highlights,"Reverted some tooltip plugin updates to prevent issues with selector, dynamic content, and disposed tooltips using title",,,,,,
90,Bootstrap,5.2.1,,css,Remove a unused sass parameter from banner mixin,Remove a unused sass parameter from banner mixin,," Add a banner mixin, helping future releases and maintenance",https://github.com/twbs/bootstrap/pull/36791,,https://github.com/twbs/bootstrap/pull/36178
91,Bootstrap,5.2.1,,css,Fix pagination page items border radius,Fix pagination page items border radius,,,https://github.com/twbs/bootstrap/pull/36828,,
